Marca,Modelul nostru,Anii nostri,Produse la noi,Modelul lor,Anii lor,Are limitari?,Textul lor (verbatim),Tip,Se aplica la noi?,Observatii,Link
audi,audi a4 b8,2009-2016,15,audi a4 b8,2007-2017,DA,"Pentru a putea fi montata interfata, masina trebuie sa aiba AUX activat si mufa AUX in. Nu se poate monta pe masini dotate cu Audi CD Changer.",altceva — de citit,,,https://www.navigatiiandroid.ro/navigatie-audi-a4-b8-2007-2017/interfata-audio-video-cu-android-auto-si-carplay-audi-a4-b8-a5-8t-2007-2017-cu-navigatie-mmi-2g
ford,ford kuga,2008-2012,15,ford kuga 1,2008-2012,DA,Daca masina are navigatie originala Blaupunkt este necesar un modul control aer conditionat care se achizitioneaza separat.,altceva — de citit,,,https://www.navigatiiandroid.ro/navigatie-ford-kuga-1-2008-2012/navigatie-dedicata-cu-android-ford-kuga-i-2008-2012-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet-wi-fi
bmw,bmw x3 f25,2011-2017,14,bmw x3 f25,2010-2017,DA,"Pentru a putea fi montata interfata, masina trebuie sa aiba AUX activat. In cazul masinilor cu camere 360 din fabrica, acestea vor fi afisate, dar nu va fi posibila schimbarea modului de vizualizare.",altceva — de citit,,,https://www.navigatiiandroid.ro/navigatie-bmw-x3-f25-2010-2017/interfata-audio-video-cu-android-auto-si-carplay-bmw-x3-f25-cu-navigatie-nbt-nbt-evo-id4-2013-2016
ford,ford mondeo 4,2007-2014,14,ford mondeo 4,2007-2014,DA,Nu se poate monta pe masini care au navigatie originala din fabrica. Daca masina nu are plus contact in mufa de alimentare a aparatului radio original este necesar un cablu suplimentar care se achizitioneaza separat.,"incompatibilitate cu navigatia de fabrica (PROBABIL limitarea LOR, nu a masinii)",,,https://www.navigatiiandroid.ro/navigatie-ford-mondeo-4-2007-2014/navigatie-dedicata-cu-android-ford-mondeo-iv-2007-2014-negru-2gb-ram-radio-gps-dual-zone-display-hd-7-touchscreen-internet-wi
ford,ford transit,dupa 2021,13,ford transit,dupa 2014,DA,"Daca masina are ecran pe bord care afiseaza data si ora, dupa montaj va ramane un mic spatiu gol in spatele navigatiei.",altceva — de citit,,,https://www.navigatiiandroid.ro/navigatie-ford-transit-dupa-2014/navigatie-dedicata-cu-android-ford-transit-2014-2020-12gb-ram-radio-gps-dual-zone-display-2k-qled-9-5-touchscreen-internet-wi
ford,ford transit connect,dupa 2013,13,ford transit,dupa 2014,DA,"Daca masina are ecran pe bord care afiseaza data si ora, dupa montaj va ramane un mic spatiu gol in spatele navigatiei.",altceva — de citit,,,https://www.navigatiiandroid.ro/navigatie-ford-transit-dupa-2014/navigatie-dedicata-cu-android-ford-transit-2014-2020-12gb-ram-radio-gps-dual-zone-display-2k-qled-9-5-touchscreen-internet-wi
honda,honda crv,2008-2011,13,honda cr v 3,2006-2012,DA,Nu se poate monta pe masini care au navigatie originala din fabrica.,"incompatibilitate cu navigatia de fabrica (PROBABIL limitarea LOR, nu a masinii)",,,https://www.navigatiiandroid.ro/navigatie-honda-cr-v-3-2006-2012/navigatie-dedicata-cu-android-honda-cr-v-iii-2006-2012-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet-wi
honda,honda crv,dupa 2012,13,honda cr v 4,2012-2018,DA,Daca masina are navigatie originala este necesar un cablu suplimentar care se achizitioneaza separat.,cere cablu/adaptor separat,,,https://www.navigatiiandroid.ro/navigatie-honda-cr-v-4-2012-2018/navigatie-dedicata-cu-android-honda-cr-v-iv-2012-2018-6gb-ram-radio-gps-dual-zone-display-hd-qled-10-touchscreen-internet-wi
hyundai,hyundai ix35,2009-2015,13,hyundai ix35,2009-2015,DA,Daca masina are amplificator sau navigatie originala si camera de marsarier este nevoie de un cablu adaptor care se achizitioneaza separat.,sistem audio amplificat din fabrica,,,https://www.navigatiiandroid.ro/navigatie-hyundai-ix35-2009-2015/navigatie-dedicata-cu-android-hyundai-ix35-2009-2015-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet-wi-fi
kia,kia sportage,2010-2015,13,kia sportage 3,2010-2016,DA,Daca masina are amplificator sau navigatie originala si camera de marsarier este nevoie de un cablu adaptor care se achizitioneaza separat.,sistem audio amplificat din fabrica,,,https://www.navigatiiandroid.ro/navigatie-kia-sportage-3-2010-2016/navigatie-dedicata-cu-android-kia-sportage-2010-2016-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet-wi-fi
mitsubishi,mitsubishi asx,2010-2016,13,mitsubishi asx,dupa 2010,DA,Daca masina are amplificator Rockford este nevoie de un cablu adaptor care se achizitioneaza separat.,sistem audio amplificat din fabrica,,,https://www.navigatiiandroid.ro/navigatie-mitsubishi-asx-dupa-2010/navigatie-dedicata-cu-android-mitsubishi-asx-dupa-2019-12gb-ram-radio-gps-dual-zone-display-2k-qled-10-36-touchscreen
ford,ford transit,2014-2020,9,ford transit,dupa 2014,DA,"Daca masina are ecran pe bord care afiseaza data si ora, dupa montaj va ramane un mic spatiu gol in spatele navigatiei.",altceva — de citit,,,https://www.navigatiiandroid.ro/navigatie-ford-transit-dupa-2014/navigatie-dedicata-cu-android-ford-transit-2014-2020-12gb-ram-radio-gps-dual-zone-display-2k-qled-9-5-touchscreen-internet-wi
mitsubishi,mitsubishi asx,2017-2019,9,mitsubishi asx,dupa 2010,DA,Daca masina are amplificator Rockford este nevoie de un cablu adaptor care se achizitioneaza separat.,sistem audio amplificat din fabrica,,,https://www.navigatiiandroid.ro/navigatie-mitsubishi-asx-dupa-2010/navigatie-dedicata-cu-android-mitsubishi-asx-dupa-2019-12gb-ram-radio-gps-dual-zone-display-2k-qled-10-36-touchscreen
mitsubishi,mitsubishi asx,2020-2022,9,mitsubishi asx,dupa 2010,DA,Daca masina are amplificator Rockford este nevoie de un cablu adaptor care se achizitioneaza separat.,sistem audio amplificat din fabrica,,,https://www.navigatiiandroid.ro/navigatie-mitsubishi-asx-dupa-2010/navigatie-dedicata-cu-android-mitsubishi-asx-dupa-2019-12gb-ram-radio-gps-dual-zone-display-2k-qled-10-36-touchscreen
vw,vw transporter t6,2019-2024,9,vw transporter t6,dupa 2015,DA,"Daca masina are rotile de reglare sub grilele de ventilatie, acestea vor trebui scoase pentru a putea monta navigatia.",altceva — de citit,,,https://www.navigatiiandroid.ro/navigatie-vw-transporter-t6-dupa-2015/navigatie-dedicata-cu-android-vw-transporter-caravelle-multivan-t6-2015-2020-12gb-ram-radio-gps-dual-zone-display-2k-qled-9-5
ford,ford focus 3,2011-2019,4,ford focus 3,2011-2018,DA,"Daca masina are 12 senzori de parcare originali (6 fata si 6 spate), acestia vor fi preluati de navigatie doar vizual, nu si acustic.",altceva — de citit,,,https://www.navigatiiandroid.ro/navigatie-ford-focus-3-2011-2018/navigatie-dedicata-cu-android-ford-focus-iii-2011-2018-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet-wi
ford,ford transit courier,2014-2018,4,ford transit,dupa 2014,DA,"Daca masina are ecran pe bord care afiseaza data si ora, dupa montaj va ramane un mic spatiu gol in spatele navigatiei.",altceva — de citit,,,https://www.navigatiiandroid.ro/navigatie-ford-transit-dupa-2014/navigatie-dedicata-cu-android-ford-transit-2014-2020-12gb-ram-radio-gps-dual-zone-display-2k-qled-9-5-touchscreen-internet-wi
bmw,bmw x1 e84 cic,2009-2015,1,bmw x1 e84,2009-2015,DA,Nu se poate monta pe masini care au navigatie originala din fabrica.,"incompatibilitate cu navigatia de fabrica (PROBABIL limitarea LOR, nu a masinii)",,,https://www.navigatiiandroid.ro/navigatie-bmw-x1-e84-2009-2015/navigatie-dedicata-cu-android-bmw-x1-e84-2009-2015-1gb-ram-radio-gps-dual-zone-display-hd-ips-10-touchscreen-internet-wi-fi
bmw,bmw x3 f25 cic,2011-2017,1,bmw x3 f25,2010-2017,DA,"Pentru a putea fi montata interfata, masina trebuie sa aiba AUX activat. In cazul masinilor cu camere 360 din fabrica, acestea vor fi afisate, dar nu va fi posibila schimbarea modului de vizualizare.",altceva — de citit,,,https://www.navigatiiandroid.ro/navigatie-bmw-x3-f25-2010-2017/interfata-audio-video-cu-android-auto-si-carplay-bmw-x3-f25-cu-navigatie-nbt-nbt-evo-id4-2013-2016
bmw,bmw x3 f25 nbt,2011-2017,1,bmw x3 f25,2010-2017,DA,"Pentru a putea fi montata interfata, masina trebuie sa aiba AUX activat. In cazul masinilor cu camere 360 din fabrica, acestea vor fi afisate, dar nu va fi posibila schimbarea modului de vizualizare.",altceva — de citit,,,https://www.navigatiiandroid.ro/navigatie-bmw-x3-f25-2010-2017/interfata-audio-video-cu-android-auto-si-carplay-bmw-x3-f25-cu-navigatie-nbt-nbt-evo-id4-2013-2016
NISSAN,(niciun model potrivit in catalogul nostru),,0,nissan qashqai 1,2006-2014,DA,Daca masina are navigatie originala sau camera de marsarier este necesar un cablu suplimentar care se achizitioneaza separat.,cere cablu/adaptor separat,,,https://www.navigatiiandroid.ro/navigatie-nissan-qashqai-1-2006-2014/navigatie-dedicata-cu-android-nissan-qashqai-i-2006-2014-1gb-ram-radio-gps-dual-zone-display-hd-7-touchscreen-internet-wi-fi
TOYOTA,(niciun model potrivit in catalogul nostru),,0,toyota corolla e18,2013-2018,DA,"Daca masina are amplificator sau navigatie originala si camera de marsarier este nevoie de un cablu adaptor care se achizitioneaza separat. Nu se poate monta pe masini cu butonul de avarii patrat. Pentru a putea fi montata, este necesar sa se decupeze o portiune mica de plastic din interiorul bordului.","incompatibilitate cu navigatia de fabrica (PROBABIL limitarea LOR, nu a masinii)",,,https://www.navigatiiandroid.ro/navigatie-toyota-corolla-e18-2013-2018/navigatie-dedicata-cu-android-toyota-corolla-2017-2018-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet-wi
vw,vw tiguan,2007-2016,55,vw tiguan 1,2007-2018,NU,,,,,https://www.navigatiiandroid.ro/navigatie-vw-tiguan-1-2007-2018/navigatie-dedicata-cu-android-vw-tiguan-i-2007-2012-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet-wi-fi
ford,ford focus,2004-2011,51,ford focus 2,2004-2011,NU,,,,,https://www.navigatiiandroid.ro/navigatie-ford-focus-2-2004-2011/navigatie-dedicata-cu-android-ford-focus-ii-2004-2011-clima-manuala-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen
vw,vw golf 5,2004-2008,42,vw golf 5,2003-2010,NU,,,,,https://www.navigatiiandroid.ro/navigatie-vw-golf-5-2003-2010/navigatie-dedicata-cu-android-vw-golf-v-2003-2010-1gb-ram-radio-gps-dual-zone-display-hd-ips-10-touchscreen-internet-wi-fi
vw,vw scirocco,2008-2018,42,vw scirocco,2008-2018,NU,,,,,https://www.navigatiiandroid.ro/navigatie-vw-scirocco-2008-2018/navigatie-dedicata-cu-android-vw-scirocco-2008-2018-1gb-ram-radio-gps-dual-zone-display-hd-ips-10-touchscreen-internet-wi-fi
skoda,skoda octavia,2004-2013,33,skoda octavia 2,2004-2013,NU,,,,,https://www.navigatiiandroid.ro/navigatie-skoda-octavia-2-2004-2013/navigatie-dedicata-cu-android-skoda-octavia-ii-2004-2013-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet
vw,vw jetta,2006-2010,33,vw jetta 3,2004-2011,NU,,,,,https://www.navigatiiandroid.ro/navigatie-vw-jetta-3-2004-2011/navigatie-dedicata-cu-android-vw-jetta-iii-2004-2011-1gb-ram-radio-gps-dual-zone-display-hd-ips-10-touchscreen-internet-wi-fi
vw,vw passat b6,2005-2010,33,vw passat b6 b7,2005-2015,NU,,,,,https://www.navigatiiandroid.ro/navigatie-vw-passat-b6-b7-2005-2015/navigatie-dedicata-cu-android-vw-passat-b6-b7-2005-2015-1gb-ram-radio-gps-dual-zone-display-hd-ips-10-touchscreen-internet-wi
vw,vw polo 6r,2009-2018,33,vw polo 6r,2009-2018,NU,,,,,https://www.navigatiiandroid.ro/navigatie-vw-polo-6r-2009-2018/navigatie-dedicata-cu-android-vw-polo-6r-2009-2018-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet-wi-fi
vw,vw touran,2003-2013,33,vw touran 1,2003-2010,NU,,,,,https://www.navigatiiandroid.ro/navigatie-vw-touran-1-2003-2010/navigatie-dedicata-cu-android-vw-touran-2003-2010-1gb-ram-radio-gps-dual-zone-display-hd-ips-10-touchscreen-internet-wi-fi
vw,vw touran,2003-2013,33,vw touran 2,2010-2015,NU,,,,,https://www.navigatiiandroid.ro/navigatie-vw-touran-2-2010-2015/navigatie-dedicata-cu-android-vw-touran-2010-2015-12gb-ram-radio-gps-dual-zone-display-2k-qled-10-36-touchscreen-internet-wi
ford,ford ranger,2015-2022,27,ford ranger,dupa 2015,NU,,,,,https://www.navigatiiandroid.ro/navigatie-ford-ranger-dupa-2015/navigatie-dedicata-cu-android-ford-ranger-dupa-2015-cu-navigatie-originala-1gb-ram-radio-gps-dual-zone-display-hd-ips-9
Mercedes Benz,mercedes benz vito 3,2012-2021,27,mercedes vito,dupa 2003,NU,,,,,https://www.navigatiiandroid.ro/navigatie-mercedes-vito-dupa-2003/navigatie-dedicata-cu-android-mercedes-vito-dupa-2006-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet-wi-fi
opel,opel zafira,2005-2014,26,opel zafira b,2005-2014,NU,,,,,https://www.navigatiiandroid.ro/navigatie-opel-zafira-b-2005-2014/navigatie-dedicata-cu-android-opel-zafira-b-2005-2014-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet-wi-fi
vw,vw passat b7,2010-2014,25,vw passat b6 b7,2005-2015,NU,,,,,https://www.navigatiiandroid.ro/navigatie-vw-passat-b6-b7-2005-2015/navigatie-dedicata-cu-android-vw-passat-b6-b7-2005-2015-1gb-ram-radio-gps-dual-zone-display-hd-ips-10-touchscreen-internet-wi
fiat,fiat 500,2007-2015,24,fiat 500,2007-2020,NU,,,,,https://www.navigatiiandroid.ro/navigatie-fiat-500-2007-2020/navigatie-dedicata-cu-android-fiat-500-2015-2020-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet-wi-fi
ford,ford fiesta,2002-2008,24,ford fiesta 5,2002-2008,NU,,,,,https://www.navigatiiandroid.ro/navigatie-ford-fiesta-5-2002-2008/navigatie-dedicata-cu-android-ford-fiesta-v-2005-2008-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet-wi-fi
Mercedes Benz,mercedes benz viano,2003-2014,24,mercedes viano,2003-2014,NU,,,,,https://www.navigatiiandroid.ro/navigatie-mercedes-viano-2003-2014/navigatie-dedicata-cu-android-mercedes-viano-2007-2014-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet-wi
Mercedes Benz,mercedes benz vito,2003-2012,24,mercedes vito,dupa 2003,NU,,,,,https://www.navigatiiandroid.ro/navigatie-mercedes-vito-dupa-2003/navigatie-dedicata-cu-android-mercedes-vito-dupa-2006-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet-wi-fi
seat,seat altea,2004-2015,24,seat altea,2004-2015,NU,,,,,https://www.navigatiiandroid.ro/navigatie-seat-altea-2004-2015/navigatie-dedicata-cu-android-seat-altea-2004-2015-12gb-ram-radio-gps-dual-zone-display-2k-qled-10-36-touchscreen-internet-wi
seat,seat altea xl,2006-2015,24,seat altea,2004-2015,NU,,,,,https://www.navigatiiandroid.ro/navigatie-seat-altea-2004-2015/navigatie-dedicata-cu-android-seat-altea-2004-2015-12gb-ram-radio-gps-dual-zone-display-2k-qled-10-36-touchscreen-internet-wi
seat,seat altea xl,2006-2015,24,seat altea xl,2006-2015,NU,,,,,https://www.navigatiiandroid.ro/navigatie-seat-altea-xl-2006-2015/navigatie-dedicata-cu-android-seat-altea-xl-2006-2015-12gb-ram-radio-gps-dual-zone-display-2k-qled-10-36-touchscreen-internet
seat,seat altea,2004-2015,24,seat altea xl,2006-2015,NU,,,,,https://www.navigatiiandroid.ro/navigatie-seat-altea-xl-2006-2015/navigatie-dedicata-cu-android-seat-altea-xl-2006-2015-12gb-ram-radio-gps-dual-zone-display-2k-qled-10-36-touchscreen-internet
seat,seat leon,2005-2013,24,seat leon 1p,2005-2013,NU,,,,,https://www.navigatiiandroid.ro/navigatie-seat-leon-1p-2005-2013/navigatie-dedicata-cu-android-seat-leon-1p-2005-2013-1gb-ram-radio-gps-dual-zone-display-hd-ips-10-touchscreen-internet-wi-fi
skoda,skoda rapid,2012-2017,24,skoda rapid,2011-2019,NU,,,,,https://www.navigatiiandroid.ro/navigatie-skoda-rapid-2011-2019/navigatie-dedicata-cu-android-skoda-rapid-2011-2019-12gb-ram-radio-gps-dual-zone-display-2k-qled-9-5-touchscreen-internet-wi
vw,vw golf plus,2005-2014,24,vw golf plus,2004-2014,NU,,,,,https://www.navigatiiandroid.ro/navigatie-vw-golf-plus-2004-2014/navigatie-dedicata-cu-android-vw-golf-plus-2004-2014-12gb-ram-radio-gps-dual-zone-display-2k-qled-10-36-touchscreen-internet
vw,vw multivan t5,2010-2015,24,vw multivan t5,2003-2015,NU,,,,,https://www.navigatiiandroid.ro/navigatie-vw-multivan-t5-2003-2015/navigatie-dedicata-cu-android-vw-multivan-v-2003-2015-12gb-ram-radio-gps-dual-zone-display-2k-qled-9-5-touchscreen-internet
vw,vw transporter t5,2010-2015,24,vw transporter t5,2003-2015,NU,,,,,https://www.navigatiiandroid.ro/navigatie-vw-transporter-t5-2003-2015/navigatie-dedicata-cu-android-vw-transporter-t5-2010-2015-12gb-ram-radio-gps-dual-zone-display-2k-qled-10-36-touchscreen
dacia,dacia duster,2010-2013,18,dacia duster 1,2010-2018,NU,,,,,https://www.navigatiiandroid.ro/navigatie-dacia-duster-1-2010-2018/navigatie-dedicata-cu-android-dacia-duster-i-2013-2018-2gb-ram-radio-gps-dual-zone-display-hd-8-touchscreen-internet-wi-fi
dacia,dacia logan 2,2012-2020,18,dacia logan 2,2012-2020,NU,,,,,https://www.navigatiiandroid.ro/navigatie-dacia-logan-2-2012-2020/navigatie-dedicata-cu-android-dacia-logan-ii-2012-2020-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet-wi
ford,ford ranger f250,2011-2015,18,ford ranger,2011-2015,NU,,,,,https://www.navigatiiandroid.ro/navigatie-ford-ranger-2011-2015/navigatie-dedicata-cu-android-ford-ranger-2011-2015-12gb-ram-radio-gps-dual-zone-display-2k-qled-9-5-touchscreen-internet-wi
toyota,toyota auris e15,2006-2012,18,toyota auris e15,2006-2012,NU,,,,,https://www.navigatiiandroid.ro/navigatie-toyota-auris-e15-2006-2012/navigatie-dedicata-cu-android-toyota-auris-2006-2012-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet-wi-fi
ford,ford transit,2005-2014,15,ford transit,2006-2014,NU,,,,,https://www.navigatiiandroid.ro/navigatie-ford-transit-2006-2014/navigatie-dedicata-cu-android-ford-transit-2006-2014-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet-wi-fi
vw,vw multivan t5,2003-2009,15,vw multivan t5,2003-2015,NU,,,,,https://www.navigatiiandroid.ro/navigatie-vw-multivan-t5-2003-2015/navigatie-dedicata-cu-android-vw-multivan-v-2003-2015-12gb-ram-radio-gps-dual-zone-display-2k-qled-9-5-touchscreen-internet
vw,vw transporter t5,2003-2009,15,vw transporter t5,2003-2015,NU,,,,,https://www.navigatiiandroid.ro/navigatie-vw-transporter-t5-2003-2015/navigatie-dedicata-cu-android-vw-transporter-t5-2010-2015-12gb-ram-radio-gps-dual-zone-display-2k-qled-10-36-touchscreen
ford,ford ranger,2011-2016,13,ford ranger,2011-2015,NU,,,,,https://www.navigatiiandroid.ro/navigatie-ford-ranger-2011-2015/navigatie-dedicata-cu-android-ford-ranger-2011-2015-12gb-ram-radio-gps-dual-zone-display-2k-qled-9-5-touchscreen-internet-wi
dacia,dacia duster,2015-2020,12,dacia duster 1,2010-2018,NU,,,,,https://www.navigatiiandroid.ro/navigatie-dacia-duster-1-2010-2018/navigatie-dedicata-cu-android-dacia-duster-i-2013-2018-2gb-ram-radio-gps-dual-zone-display-hd-8-touchscreen-internet-wi-fi
Mercedes Benz,mercedes benz vito viano w639,2010-2015,12,mercedes viano,2003-2014,NU,,,,,https://www.navigatiiandroid.ro/navigatie-mercedes-viano-2003-2014/navigatie-dedicata-cu-android-mercedes-viano-2007-2014-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet-wi
Mercedes Benz,mercedes benz vito viano w639,2010-2015,12,mercedes vito,dupa 2003,NU,,,,,https://www.navigatiiandroid.ro/navigatie-mercedes-vito-dupa-2003/navigatie-dedicata-cu-android-mercedes-vito-dupa-2006-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet-wi-fi
ford,ford focus 2,2004-2011,10,ford focus 2,2004-2011,NU,,,,,https://www.navigatiiandroid.ro/navigatie-ford-focus-2-2004-2011/navigatie-dedicata-cu-android-ford-focus-ii-2004-2011-clima-manuala-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen
fiat,fiat 500 l,dupa 2012,9,fiat 500,2007-2020,NU,,,,,https://www.navigatiiandroid.ro/navigatie-fiat-500-2007-2020/navigatie-dedicata-cu-android-fiat-500-2015-2020-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet-wi-fi
ford,ford transit connect,2008-2011,9,ford transit,2006-2014,NU,,,,,https://www.navigatiiandroid.ro/navigatie-ford-transit-2006-2014/navigatie-dedicata-cu-android-ford-transit-2006-2014-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet-wi-fi
renault,renault megane iii,2009-2016,9,renault megane 3,2009-2016,NU,,,,,https://www.navigatiiandroid.ro/navigatie-renault-megane-3-2009-2016/navigatie-dedicata-cu-android-renault-megane-iii-2009-2016-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet
skoda,skoda rapid,2017-2019,9,skoda rapid,2011-2019,NU,,,,,https://www.navigatiiandroid.ro/navigatie-skoda-rapid-2011-2019/navigatie-dedicata-cu-android-skoda-rapid-2011-2019-12gb-ram-radio-gps-dual-zone-display-2k-qled-9-5-touchscreen-internet-wi
toyota,toyota corolla e15,2007-2013,9,toyota corolla e15,2007-2013,NU,,,,,https://www.navigatiiandroid.ro/navigatie-toyota-corolla-e15-2007-2013/navigatie-dedicata-cu-android-toyota-corolla-2007-2013-1gb-ram-radio-gps-dual-zone-display-hd-ips-9-touchscreen-internet-wi
vw,vw golf,2004-2008,9,vw golf 5,2003-2010,NU,,,,,https://www.navigatiiandroid.ro/navigatie-vw-golf-5-2003-2010/navigatie-dedicata-cu-android-vw-golf-v-2003-2010-1gb-ram-radio-gps-dual-zone-display-hd-ips-10-touchscreen-internet-wi-fi
